순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
119,잔소리 없는 날 ,안네마리 노르덴 글 ;배정희 옮김,보물창고,2006,,9.78899E+12,73850,853,"1,183",2005
120,나보다 작은 형,임정진 글;이웅기 그림,푸른숲,2001,,9.78897E+12,73810,813.6,"1,169",2005
121,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,12,9.78895E+12,73840,843,"1,167",2005
122,연경이는 날마다 용감하다,노경실 글;김중석 그림,작가정신,2004,,9.78897E+12,73810,813.6,"1,164",2005
123,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,17,9.78895E+12,73840,843,"1,163",2005
124,종이밥,김중미 글;김환영 그림,낮은산,2002,,9.78899E+12,73810,813.6,"1,157",2005
125,열두 살에 부자가 된 키라,보도 섀퍼 지음;신지원 그림,북21을파소,2002,,9.78895E+12,73850,325,"1,154",2005
126,(뿌지직 뿡뿡)똥이 밥이야!:고전 속의 똥 이야기,유영진;이영훈 [공]그림,계림닷컴,2004,,9.78895E+12,73810,813.5,"1,152",2005
127,(영웅)초한지,문정후 만화,대한교과서,2003,3,9.78894E+12,77820,823,"1,147",2005
128,그 남자 그 여자 :'MBC FM 음악도시'의 아름다운 101가지 사랑 이야기,이미나 지음,랜덤하우스코리아,2003,,9.78896E+12,4810,818,"1,146",2005
129,해리포터와 불의 잔,조앤 K. 롤링 지음;최인자 [공]옮김,문학수첩,2000,42,9.78898E+12,4840,843,"1,144",2005
130,영어 일기=Hi! my diary,봉현선 엮음;김효진 [공]그림,글동산,2005,,9.78898E+12,73740,746,"1,142",2005
131,똥은 참 대단해!,글: 허은미;꾸밈: 조은화,웅진씽크빅,2006,,9.7889E+12,73810,375.1,"1,137",2005
131,지진에서 살아남기,코믹컴 글;문정후 그림,대한교과서,2004,11,9.78894E+12,77450,400,"1,137",2005
131,내 짝꿍 최영대 ,글: 채인선 ;그림: 정순희,재미마주,1997,,9.78899E+12,73810,813.6,"1,137",2005
134,(만화로 보는)북유럽 신화,강주현 구성;신영미 그림,창해,2002-2003,8,9.78898E+12,77210,219,"1,136",2005
135,(박완서 장편소설)그 남자네 집,박완서 지음,현대문학,2004,,9.78897E+12,3810,813.6,"1,134",2005
136,너도 하늘말나리야:이금이 장편동화,이금이 지음;송진헌 그림,푸른책들,1999,,9.78899E+12,73810,813.8,"1,133",2005
137,(네 손가락의 피아니스트)희아의 일기,이희아 지음;김담 그림,파랑새어린이,2003,,9.78897E+12,73040,816.6,"1,131",2005
138,(사람을 길들이는 개)쭈구리,소중애 글;심창국 그림,예림당,2004,,9.78893E+12,73810,490,"1,128",2005
138,해리포터와 불의 잔,조앤 K. 롤링 지음;최인자 [공]옮김,문학수첩,2000,44,9.78898E+12,4840,843,"1,128",2005
140,꽃으로도 때리지 말라,김혜자 지음,오래된미래,2004,,9.789E+12,3810,818,"1,127",2005
141,여자는 힘이 세다!,유영소 글;원유미 그림,교학사,2002,,9.78891E+12,73810,990.94,"1,121",2005
142,Papepopo memories,심승현 저,홍익출판사,2002,,9.78897E+12,7810,810,"1,119",2005
143,모모,미하엘 엔데 지음;한미희 옮김,비룡소,1999,,9.78895E+12,43850,853,"1,118",2005
143,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2012,,9.78899E+12,77810,813.6,"1,118",2005
145,보리밭은 재미있다,이상권 글;김병화 그림,길벗어린이,2004,,9.78896E+12,77810,813.6,"1,117",2005
145,창가의 토토,구로야나기 테츠코 글;김난주 옮김,프로메테우스 출판사,2000,,9.789E+12,3830,833.6,"1,117",2005
147,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,19,9.78895E+12,73840,843,"1,114",2005
148,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,9,9.78895E+12,73840,843,"1,113",2005
149,(만화로 보는)북유럽 신화,강주현 구성;신영미 그림,창해,2002-2003,7,9.78898E+12,77210,219,"1,111",2005
150,(만화로 보는)오싱,하시다 스가코 원작;이신 그림,청조사,2002-2004,3,9.78897E+12,74830,833.6,"1,110",2005
151,바보 갑수 천재 갑수,소중애 글;이태호 그림,효리원,2002,,9.78898E+12,73810,813.6,"1,109",2005
152,(영웅)초한지,문정후 만화,대한교과서,2003,1,9.78894E+12,77820,823,"1,108",2005
153,바다에서 살아남기,코믹컴 글;정준규 그림,대한교과서,2003,7,9.78894E+12,77450,400,"1,107",2005
154,(정갑영 교수의)재미있는 두루누리 경제,정갑영 글;박철권 그림,두산동아,2004,,9.7889E+12,47320,320,"1,105",2005
154,네 손가락의 피아니스트,고정욱 글씀;원유미 그림,대교출판,2003,,9.78894E+12,73810,813.6,"1,105",2005
156,몽실이,이지현 글;김재홍 그림,중앙,2003,,9.78895E+12,73810,813.6,"1,099",2005
156,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,3,9.78895E+12,73840,843,"1,099",2005
158,(영웅)초한지,문정후 만화,대한교과서,2003,5,9.78894E+12,77820,823,"1,096",2005
158,15분짜리 형,김남길 지음;한유민 그림,문공사,2002,,9.78895E+12,73800,813.6,"1,096",2005
160,(만화로 보는)북유럽 신화,강주현 구성;신영미 그림,창해,2002-2003,1,9.78898E+12,77210,219,"1,095",2005
161,엄마 없는 날:이원수 단편동화,이원수 지음;권문희...[등]그림,웅진출판,1997,,9.7889E+12,73810,813.8,"1,094",2005
162,책 먹는 여우,프란치스카 비어만 지음;김경연 옮김,김영사,2001,,9.78893E+12,73850,853,"1,092",2005
162,(만화로 보는)북유럽 신화,강주현 구성;신영미 그림,창해,2002-2003,5,9.78898E+12,77210,219,"1,092",2005
164,독도는 우리 땅,그리미 글·그림,자음과모음,2004,,9.78895E+12,7810,911.82,"1,090",2005
164,"그림 도둑, 준모 ",글: 오승희 ;그림: 최정인,낮은산,2005,,9.78899E+12,73810,813.7,"1,090",2005
166,깜짝 변신 나만의 멋진 코디,윤희정 글;김미희 그림,글송이,2004,,9.78896E+12,73800,592,"1,089",2005
166,스쿨버스,김형진 원작;이원희 그림,기탄출판,2004,,9.78898E+12,77810,813.6,"1,089",2005
168,제3의 시나리오,김진명 저,랜덤하우스중앙,2004,2,9.78896E+12,4810,813.6,"1,085",2005
169,수학 잘하는 초등학생들의 77가지 비법,김수경 글;김미정 [공]그림,계림닷컴,2004,,9.78895E+12,73810,410,"1,084",2005
169,"노빈손, 피라미드의 비밀을 풀어라",강영숙;이우일 일러스트,뜨인돌출판사,2003,,9.78899E+12,3810,932,"1,084",2005
171,(만화로 보는)오싱,하시다 스가코 원작;이신 그림,청조사,2002-2004,4,9.78897E+12,74830,833.6,"1,082",2005
172,(청소년)토지:박경리 대하소설,박경리 지음;토지문학연구회 엮음,이룸,2003,3,9.78896E+12,4810,813.6,"1,080",2005
173,아빠의 수첩,양해원 글;전필식 그림,김영사,2002,,9.78893E+12,73810,813.6,"1,077",2005
174,"(생각이 깊어지는 이야기)짧은 동화, 긴 생각",이규경 글·그림,효리원,2003,,9.78898E+12,77810,818,"1,076",2005
175,사냥꾼을 만난 꼬마곰 ,앤서니 브라운 글·그림 ;공경희 옮김,웅진씽크빅,2015,,9.7889E+12,74840,843,"1,075",2005
175,바나나가 뭐예유?,김기정 글;남은미 그림,시공사,2002,,9.78895E+12,73810,813.6,"1,075",2005
177,따뜻한 팬티,이미옥 글;유진희 그림,시공사,2003,,9.78895E+12,73810,813.6,"1,073",2005
178,이모의 결혼식,선현경 글·그림,비룡소,2004,,9.78895E+12,77810,813.6,"1,072",2005
179,마법의 설탕 두 조각,미카엘 엔데 글;유혜자 옮김,한길사,2001,,9.78894E+12,74850,853,"1,069",2005
179,도레미파솔라시도:귀여니 이야기,귀여니 지음,황매,2004,1,9.78899E+12,,813.6,"1,069",2005
181,모기와 황소 ,글: 현동염 ;그림: 이억배,길벗어린이,2012,,9.78896E+12,77810,813.6,"1,068",2005
182,개구리논으로 오세요,여정은 글;김명길 그림,돌베개어린이,2004,,9.78899E+12,77490,490,"1,066",2005
183,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,16,9.78895E+12,73840,843,"1,065",2005
183,"(무지무지 힘이 세고, 대단히 똑똑하고, 아주아주 용감한)당글공주:임정자 동화집",임정자 지음;강을순 그림,우리교육,2002,,9.78898E+12,73810,813.6,"1,065",2005
185,가슴이 따뜻한 천재로 키워라,시치다 마코토 지음;박지영 옮김,북뱅크,2001,,9.78899E+12,3370,598.122,"1,063",2005
186,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,2,9.78893E+12,77920,909,"1,062",2005
187,유대인들은 왜 부자가 되었나,이혜진 글;바이러스 헤드 그림,문공사,2002,,9.78895E+12,73890,320,"1,061",2005
187,행복한 의자나무,량슈린 글·그림;박지민 옮김,북뱅크,2002,,9.78899E+12,77820,823.7,"1,061",2005
189,(만화로 보는)오싱,하시다 스가코 원작;이신 그림,청조사,2002-2004,7,9.78897E+12,74830,833.6,"1,058",2005
190,천사와 악마,댄 브라운 지음;양선아 옮김,베텔스만 코리아,2004,1,9.78896E+12,4840,843,"1,057",2005
190,열두 살에 인생을 준비하라!,김농주 글;오성봉 그림,파랑새어린이,2004,,9.78897E+12,73300,336,"1,057",2005
190,(별똥별 아줌마가 들려주는) 화산 이야기 ,이지유 글·그림,미래M&B,2006,,9.78898E+12,73450,451,"1,057",2005
193,초원에서 살아남기,코믹컴 글;정준규 그림,대한교과서,2003,,9.78894E+12,77490,400,"1,054",2005
193,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,11,9.78895E+12,73840,843,"1,054",2005
195,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,5,9.78893E+12,77920,909,"1,053",2005
196,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,8,9.78895E+12,77720,711.4,"1,052",2005
197,"똑같이 놀아도 공부 잘하는 아이, 공부 못하는 아이",노경해 글·그림,글송이,2003,,9.78896E+12,77800,373.4,"1,051",2005
197,(노빈손의)남극 어드벤처,박경수 지음;이우일 일러스트,뜨인돌출판사,2003,,9.78899E+12,3810,404,"1,051",2005
199,(동화로 읽는)해신,최인호 원작;이우범 그림,파랑새어린이,2003,1,9.78897E+12,73810,998.3,"1,050",2005
200,니 숙제 안하믄 우얄라꼬:사투리 생활동화,민현숙...[등]글;김종엽 [공]그림,배동바지,2003,,9.78899E+12,73810,813.6,"1,049",2005
1,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"4,214",2006
2,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,2005,61,9.78898E+12,4840,843,"3,839",2006
3,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,2005,63,9.78898E+12,4840,843,"3,468",2006
4,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,2005,62,9.78898E+12,4840,843,"3,442",2006
5,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5,9.78895E+12,77720,711.4,"3,269",2006
6,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,6,9.78895E+12,77720,711.4,"3,251",2006
7,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,2005,64,9.78898E+12,4840,843,"3,148",2006
8,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,4,9.78895E+12,77720,711.4,"3,060",2006
9,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,8,9.78895E+12,77720,711.4,"2,934",2006
10,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,2,9.78895E+12,77720,711.4,"2,903",2006
11,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,3,9.78895E+12,77720,711.4,"2,886",2006
