순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
12,다섯개의 창이 있는 집,유경환 (지은이),동아출판사(두산),1992,,9.7889E+12,,,"1,191",2002
13,그 많던 싱아는 누가 다 먹었을까 박완서 소설로 그린 자화상·유년의 기억,지은이: 박완서,웅진닷컴,1995,,9.7889E+12,3810,813.62,"1,187",2002
14,"결혼은, 미친 짓이다:이만교 장편소설",이만교 지음,민음사,2000,,9.78894E+12,3810,813.6,"1,182",2002
15,그러나 나는 살아 가리라 :유용주 산문집 ,유용주,솔출판사,2002,,9.78898E+12,3810,814.6,"1,145",2002
16,(선생님들이 직접 겪고 쓴)독서 교육 길라잡이,책으로 따뜻한 세상 만드는 교사들 지음,푸른숲,2001,,9.78897E+12,3370,29.8,"1,144",2002
17,손님 :황석영 장편소설 ,지은이: 황석영,창작과비평사,2001,,9.78894E+12,3810,813.62,"1,142",2002
18,商道,최인호 지음,여백미디어,2001,1,9.78899E+12,4810,813.6,"1,109",2002
19,(공지영의)수도원 기행,공지영 지음,김영사,2001,,9.78893E+12,3810,816.6,"1,102",2002
20,등대지기:조창인 장편소설,조창인 지음,밝은세상,2001,,9.78898E+12,3810,813.6,"1,091",2002
21,(아빠와 함께 하는)독일 자전거 여행기,강덕치 글.사진,현암사,1993,,9.78893E+12,73990,925,"1,061",2002
22,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,2,9.78897E+12,4810,813.6,"1,049",2002
23,달콤한 인생:최인호소설집,최인호 지음,문학동네,2001,,9.78898E+12,3810,813.6,"1,039",2002
24,연탄길 :가슴 찡한 우리 이웃들의 이야기,지은이: 이철환,삼진기획,2005,,9.78897E+12,3810,818,"1,031",2002
25,(제15회)소월시문학상 작품집,김혜순 외지음,문학사상사,2000,,9.78897E+12,3810,811.6,"1,011",2002
26,오페라의 유령,가스통 르루 [지음];성귀수 옮김,문학세계사,2001,,9.78897E+12,3860,863,"1,006",2002
27,행복한 사람은 시계를 보지 않는다:은희경 소설,은희경 지음,창작과 비평사,1999,,9.78894E+12,3810,813.6,993,2002
28,아주 오래된 농담,박완서,실천문학사,2000,,9.78894E+12,,,982,2002
